time,sys_pow_metric,move_pow_metric,power_status,current_task
1,0,0,Satisfied,Frontier Exploration
2,0,0,Satisfied,Frontier Exploration
3,0,0,Satisfied,Frontier Exploration
4,0,0,Satisfied,Frontier Exploration
5,0,0,Satisfied,Frontier Exploration
6,0,0,Satisfied,Frontier Exploration
7,0,0,Satisfied,Frontier Exploration
8,44.177513,16.337515,Below minimum,Charging
9,44.177513,16.337515,Below minimum,Charging
10,44.177513,16.337515,Below minimum,Charging
11,44.177513,16.337515,Below minimum,Charging
12,44.177513,16.337515,Below minimum,Charging
13,44.177513,16.337515,Below minimum,Charging
14,44.177513,16.337515,Below minimum,Charging
15,44.177513,16.337515,Below minimum,Charging
16,44.177513,16.337515,Below minimum,Charging
17,44.177513,16.337515,Below minimum,Charging
18,44.177513,16.337515,Below minimum,Charging
19,44.177513,16.337515,Below minimum,Charging
20,44.177513,16.337515,Below minimum,Charging
21,44.177513,16.337515,Below minimum,Charging
22,44.177513,16.337515,Below minimum,Charging
23,44.177513,16.337515,Satisfied,Frontier Exploration
24,44.177513,16.337515,Satisfied,Frontier Exploration
25,44.177513,16.337515,Satisfied,Frontier Exploration
26,44.177513,16.337515,Satisfied,Frontier Exploration
27,44.177513,16.337515,Satisfied,Frontier Exploration
28,44.177513,16.337515,Satisfied,Frontier Exploration
29,44.177513,16.337515,Satisfied,Frontier Exploration
30,44.177513,16.337515,Satisfied,Frontier Exploration
31,44.177513,16.337515,Satisfied,Frontier Exploration
32,44.177513,16.337515,Satisfied,Frontier Exploration
33,44.177513,16.337515,Satisfied,Frontier Exploration
34,44.177513,16.337515,Satisfied,Frontier Exploration
35,44.177513,16.337515,Satisfied,Frontier Exploration
36,44.177513,16.337515,Satisfied,Frontier Exploration
37,44.177513,16.337515,Satisfied,Frontier Exploration
38,98.25206,42.57206,Below minimum,Charging
39,98.25206,42.57206,Below minimum,Charging
40,98.25206,42.57206,Below minimum,Charging
41,98.25206,42.57206,Below minimum,Charging
42,98.25206,42.57206,Below minimum,Charging
43,98.25206,42.57206,Below minimum,Charging
44,98.25206,42.57206,Below minimum,Charging
45,98.25206,42.57206,Below minimum,Charging
46,98.25206,42.57206,Below minimum,Charging
47,98.25206,42.57206,Below minimum,Charging
48,98.25206,42.57206,Below minimum,Charging
49,98.25206,42.57206,Below minimum,Charging
50,98.25206,42.57206,Below minimum,Charging
51,98.25206,42.57206,Below minimum,Charging
52,98.25206,42.57206,Below minimum,Charging
53,98.25206,42.57206,Below minimum,Charging
54,98.25206,42.57206,Below minimum,Charging
55,98.25206,42.57206,Below minimum,Charging
56,98.25206,42.57206,Below minimum,Charging
57,98.25206,42.57206,Below minimum,Charging
58,98.25206,42.57206,Below minimum,Charging
59,98.25206,42.57206,Below minimum,Charging
60,98.25206,42.57206,Below minimum,Charging
61,98.25206,42.57206,Below minimum,Charging
62,98.25206,42.57206,Below minimum,Charging
63,98.25206,42.57206,Satisfied,Frontier Exploration
64,98.25206,42.57206,Satisfied,Frontier Exploration
65,98.25206,42.57206,Satisfied,Frontier Exploration
66,98.25206,42.57206,Satisfied,Frontier Exploration
67,98.25206,42.57206,Satisfied,Frontier Exploration
68,98.25206,42.57206,Satisfied,Frontier Exploration
69,98.25206,42.57206,Satisfied,Frontier Exploration
70,98.25206,42.57206,Satisfied,Frontier Exploration
71,98.25206,42.57206,Satisfied,Frontier Exploration
72,98.25206,42.57206,Satisfied,Frontier Exploration
73,98.25206,42.57206,Satisfied,Frontier Exploration
74,98.25206,42.57206,Satisfied,Frontier Exploration
75,98.25206,42.57206,Satisfied,Frontier Exploration
76,98.25206,42.57206,Satisfied,Frontier Exploration
77,98.25206,42.57206,Satisfied,Frontier Exploration
78,98.25206,42.57206,Satisfied,Frontier Exploration
79,98.25206,42.57206,Satisfied,Frontier Exploration
80,98.25206,42.57206,Satisfied,Frontier Exploration
81,98.25206,42.57206,Satisfied,Frontier Exploration
82,98.25206,42.57206,Satisfied,Frontier Exploration
83,98.25206,42.57206,Satisfied,Frontier Exploration
84,98.25206,42.57206,Satisfied,Frontier Exploration
85,98.25206,42.57206,Satisfied,Frontier Exploration
86,98.25206,42.57206,Satisfied,Frontier Exploration
87,98.25206,42.57206,Satisfied,Frontier Exploration
88,98.25206,42.57206,Satisfied,Frontier Exploration
89,98.25206,42.57206,Satisfied,Frontier Exploration
90,98.25206,42.57206,Satisfied,Frontier Exploration
91,98.25206,42.57206,Satisfied,Frontier Exploration
92,98.25206,42.57206,Satisfied,Frontier Exploration
93,98.25206,42.57206,Satisfied,Frontier Exploration
94,187.777832,76.417862,Below minimum,Charging
95,187.777832,76.417862,Below minimum,Charging
96,187.777832,76.417862,Below minimum,Charging
97,187.777832,76.417862,Below minimum,Charging
98,187.777832,76.417862,Below minimum,Charging
99,187.777832,76.417862,Below minimum,Charging
100,187.777832,76.417862,Below minimum,Charging
101,187.777832,76.417862,Below minimum,Charging
102,187.777832,76.417862,Below minimum,Charging
103,187.777832,76.417862,Below minimum,Charging
104,187.777832,76.417862,Below minimum,Charging
105,187.777832,76.417862,Below minimum,Charging
106,187.777832,76.417862,Below minimum,Charging
107,187.777832,76.417862,Below minimum,Charging
108,187.777832,76.417862,Below minimum,Charging
109,187.777832,76.417862,Below minimum,Charging
110,187.777832,76.417862,Below minimum,Charging
111,187.777832,76.417862,Below minimum,Charging
112,187.777832,76.417862,Below minimum,Charging
113,187.777832,76.417862,Below minimum,Charging
114,187.777832,76.417862,Below minimum,Charging
115,187.777832,76.417862,Below minimum,Charging
116,187.777832,76.417862,Below minimum,Charging
117,187.777832,76.417862,Below minimum,Charging
118,187.777832,76.417862,Below minimum,Charging
119,187.777832,76.417862,Below minimum,Charging
120,187.777832,76.417862,Below minimum,Charging
121,187.777832,76.417862,Below minimum,Charging
122,187.777832,76.417862,Below minimum,Charging
123,187.777832,76.417862,Below minimum,Charging
