time,move_pow_metric,safety_metric,movement_efficiency,current_lighting,max_speed,obj_det_eff,obj_power,pic_rate,curr_cam_topic,pics_taken
1,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
2,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
3,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
4,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
5,-10.0,-10.0,-10.0,0.941171,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
6,-10.0,-10.0,-10.0,0.941171,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
7,-10.0,-10.0,-10.0,0.915709,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
8,-10.0,0.122317,-10.0,0.915709,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
9,-10.0,0.129955,-10.0,0.891224,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
10,-10.0,0.129955,-10.0,0.891224,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
11,-10.0,0.162589,0.892044,0.873461,-10.0,"0,1",7053.725098,-10,cam_feednot_available,1.0
12,-10.0,0.162589,0.892044,0.873461,-10.0,"0,1",7053.725098,-10,cam_feednot_available,1.0
13,-10.0,0.154008,1.0,0.840187,-10.0,"0,2",6994.450195,-10,cam_feednot_available,2.0
14,-10.0,0.154008,1.0,0.840187,-10.0,"0,3",6935.174805,-10,cam_feednot_available,3.0
15,-10.0,0.096223,0.791714,0.818778,-10.0,"0,4",6875.899902,-10,cam_feednot_available,4.0
16,-10.0,0.096223,0.791714,0.818778,-10.0,"0,4",6875.899902,-10,cam_feednot_available,4.0
17,29.827864,0.074142,0.791714,0.780534,-10.0,"0,5",6816.625,-10,cam_feednot_available,5.0
18,29.827864,0.074142,0.791714,0.780534,-10.0,"0,6",6757.350098,-10,cam_feednot_available,6.0
19,29.827864,0.078989,0.200544,0.758626,-10.0,"0,7",6698.075195,-10,cam_feednot_available,7.0
20,29.827864,0.078989,0.200544,0.758626,-10.0,"0,8",6638.799805,-10,cam_feednot_available,8.0
21,29.827864,0.036043,1.0,0.721317,-10.0,"0,8",6638.799805,-10,cam_feednot_available,8.0
22,29.827864,0.036043,1.0,0.721317,-10.0,"0,9",6579.524902,-10,cam_feednot_available,9.0
23,29.827864,0.064777,0.581396,0.681579,-10.0,"0,9",6579.524902,-10,cam_feednot_available,10.0
24,29.827864,0.064777,0.581396,0.681579,-10.0,"0,9",6579.524902,-10,cam_feednot_available,10.0
25,19.779474,0.078615,0.581396,0.659928,-10.0,"0,10",6520.25,-10,cam_feednot_available,10.0
26,19.779474,0.078615,0.581396,0.659928,-10.0,"0,11",6460.975098,-10,cam_feednot_available,11.0
27,19.779474,0.068961,0.159144,0.608515,-10.0,"0,12",6401.700195,-10,cam_feednot_available,12.0
28,19.779474,0.068961,0.159144,0.608515,-10.0,"0,13",6342.424805,-10,cam_feednot_available,13.0
29,19.779474,0.090533,0.951618,0.582111,-10.0,"0,13",6342.424805,-10,cam_feednot_available,13.0
30,19.779474,0.090533,0.951618,0.582111,-10.0,"0,14",6283.149902,-10,cam_feednot_available,14.0
31,19.779474,0.182806,1.0,0.542647,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
32,19.779474,0.182806,1.0,0.542647,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
33,19.779474,0.220735,0.998843,0.506481,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
34,19.779474,0.220735,0.998843,0.506481,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
35,19.779474,0.166048,0.996088,0.461093,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
36,19.779474,0.166048,0.996088,0.461093,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
37,19.779474,0.1544,1.0,0.422512,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
38,19.779474,0.1544,1.0,0.422512,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
39,19.779474,0.159227,0.683562,0.385284,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
40,19.779474,0.159227,0.683562,0.385284,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
41,19.779474,0.140083,0.997271,0.347896,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
42,19.779474,0.140083,0.997271,0.347896,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
43,19.779474,0.112972,0.634064,0.313864,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
44,19.779474,0.112972,0.634064,0.313864,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
45,19.779474,0.09998,0.634064,0.278474,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
46,58.386204,0.09998,0.634064,0.278474,-10.0,"0,15",6223.875,-10,cam_feednot_available,15.0
47,58.386204,0.094339,0.634064,0.247158,-10.0,"0,16",6164.600098,-10,cam_feednot_available,16.0
48,58.386204,0.094339,0.634064,0.247158,-10.0,"0,16",6164.600098,-10,cam_feednot_available,16.0
49,58.386204,0.110627,0.674669,0.216941,-10.0,"0,17",6105.325195,-10,cam_feednot_available,17.0
50,58.386204,0.110627,0.674669,0.216941,-10.0,"0,18",6046.049805,-10,cam_feednot_available,18.0
51,58.386204,0.099665,0.791437,0.183715,-10.0,"0,19",5986.774902,-10,cam_feednot_available,19.0
52,58.386204,0.099665,0.791437,0.183715,-10.0,"0,19",5986.774902,-10,cam_feednot_available,20.0
53,58.386204,0.047267,0.996885,0.155785,-10.0,"0,19",5986.774902,-10,cam_feednot_available,20.0
54,58.386204,0.047267,0.996885,0.155785,-10.0,"0,19",5986.774902,-10,cam_feednot_available,20.0
55,58.386204,0.125127,0.951598,0.130038,-10.0,"0,19",5986.774902,-10,cam_feednot_available,20.0
56,58.386204,0.125127,0.951598,0.130038,-10.0,"0,19",5986.774902,-10,cam_feednot_available,20.0
57,58.386204,0.175282,0.846711,0.105107,-10.0,"0,19",5986.774902,-10,cam_feednot_available,20.0
58,58.386204,0.175282,0.846711,0.105107,-10.0,"0,19",5986.774902,-10,cam_feednot_available,20.0
59,58.386204,0.110046,0.166789,0.084123,-10.0,"0,19",5986.774902,-10,cam_feednot_available,20.0
60,58.386204,0.110046,0.166789,0.084123,-10.0,"0,19",5986.774902,-10,cam_feednot_available,20.0
61,58.386204,0.109529,0.166789,0.063885,-10.0,"0,19",5986.774902,-10,cam_feednot_available,20.0
62,58.386204,0.109529,0.166789,0.063885,-10.0,"0,19",5986.774902,-10,cam_feednot_available,20.0
63,58.386204,0.097403,0.518491,0.046331,-10.0,"0,19",5986.774902,-10,cam_feednot_available,20.0
64,58.386204,0.097403,0.518491,0.046331,-10.0,"0,19",5986.774902,-10,cam_feednot_available,20.0
65,58.386204,0.05823,0.157463,0.032178,-10.0,"0,19",5986.774902,-10,cam_feednot_available,20.0
66,58.386204,0.05823,0.157463,0.032178,-10.0,"0,19",5986.774902,-10,cam_feednot_available,20.0
67,58.386204,0.058264,0.157463,0.02004,-10.0,"0,19",5986.774902,-10,cam_feednot_available,20.0
68,58.386204,0.058264,0.157463,0.02004,-10.0,"0,19",5986.774902,-10,cam_feednot_available,20.0
69,58.386204,0.060679,0.157463,0.011087,-10.0,"0,19",5986.774902,-10,cam_feednot_available,20.0
70,58.634743,0.060679,0.157463,0.011087,-10.0,"1,20",5927.5,-10,cam_feednot_available,20.0
71,58.634743,0.059921,0.157463,0.004344,-10.0,"2,21",5868.225098,-10,cam_feednot_available,21.0
72,58.634743,0.059921,0.157463,0.004344,-10.0,"2,22",5808.950195,-10,cam_feednot_available,22.0
73,58.634743,0.028395,0.89162,0.000854,-10.0,"2,23",5749.674805,-10,cam_feednot_available,23.0
74,58.634743,0.028395,0.89162,0.000854,-10.0,"2,24",5690.399902,-10,cam_feednot_available,24.0
75,58.634743,0.132625,1.0,7e-05,-10.0,"2,24",5690.399902,-10,cam_feednot_available,25.0
76,58.634743,0.132625,1.0,7e-05,-10.0,"2,24",5690.399902,-10,cam_feednot_available,25.0
77,58.634743,0.239031,1.0,0.001967,-10.0,"2,24",5690.399902,-10,cam_feednot_available,25.0
78,58.634743,0.239031,1.0,0.001967,-10.0,"2,24",5690.399902,-10,cam_feednot_available,25.0
79,58.634743,0.18875,0.943377,0.006654,-10.0,"2,24",5690.399902,-10,cam_feednot_available,25.0
80,58.634743,0.18875,0.943377,0.006654,-10.0,"2,24",5690.399902,-10,cam_feednot_available,25.0
81,58.634743,0.140687,0.998437,0.011412,-10.0,"2,24",5690.399902,-10,cam_feednot_available,25.0
82,58.634743,0.140687,0.998437,0.011412,-10.0,"2,24",5690.399902,-10,cam_feednot_available,25.0
83,58.634743,0.092985,0.687762,0.025537,-10.0,"2,24",5690.399902,-10,cam_feednot_available,25.0
84,41.885078,0.092985,0.687762,0.025537,-10.0,"2,25",5631.125,-10,cam_feednot_available,25.0
85,41.885078,0.079858,0.687762,0.032511,-10.0,"2,26",5571.850098,-10,cam_feednot_available,26.0
86,41.885078,0.079858,0.687762,0.032511,-10.0,"2,27",5512.575195,-10,cam_feednot_available,27.0
87,41.885078,0.083141,0.529175,0.053694,-10.0,"2,28",5453.299805,-10,cam_feednot_available,28.0
88,41.885078,0.083141,0.529175,0.053694,-10.0,"2,28",5453.299805,-10,cam_feednot_available,28.0
89,41.885078,0.035531,1.0,0.071905,-10.0,"2,29",5394.024902,-10,cam_feednot_available,29.0
90,41.885078,0.035531,1.0,0.071905,-10.0,"2,29",5394.024902,-10,cam_feednot_available,30.0
91,41.885078,0.081291,0.632136,0.094002,-10.0,"2,29",5394.024902,-10,cam_feednot_available,30.0
92,41.885078,0.081291,0.632136,0.094002,-10.0,"2,29",5394.024902,-10,cam_feednot_available,30.0
93,24.534634,0.091563,0.632136,0.117115,-10.0,"2,30",5334.75,-10,cam_feednot_available,30.0
94,24.534634,0.091563,0.632136,0.117115,-10.0,"2,31",5275.475098,-10,cam_feednot_available,31.0
95,24.534634,0.081191,0.435965,0.14001,-10.0,"2,32",5216.200195,-10,cam_feednot_available,32.0
96,24.534634,0.081191,0.435965,0.14001,-10.0,"2,33",5156.924805,-10,cam_feednot_available,33.0
