time,bt_name,move_pow_metric,safety_metric,movement_efficiency,current_lighting,max_speed,obj_det_eff,obj_power,pic_rate,curr_cam_topic,pics_taken
1,frog_aal_arch_external.xml,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
2,frog_aal_arch_external.xml,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
3,frog_aal_arch_external.xml,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
4,frog_aal_arch_external.xml,-10.0,-10.0,-10.0,0.93346,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
5,frog_aal_arch_external.xml,-10.0,-10.0,-10.0,0.914924,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
6,frog_aal_arch_external.xml,-10.0,-10.0,-10.0,0.914924,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
7,frog_aal_arch_external.xml,-10.0,-10.0,-10.0,0.892973,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
8,frog_aal_arch_external.xml,-10.0,0.130141,-10.0,0.892973,0.1,-10.0,-10.0,1,/camera/image_noisy,-10.0
9,frog_aal_arch_external.xml,-10.0,0.146072,0.380981,0.868342,0.1,-10.0,-10.0,1,/camera/image_noisy,-10.0
10,frog_aal_arch_external.xml,-10.0,0.146072,0.380981,0.868342,0.1,-10.0,-10.0,1,/camera/image_noisy,-10.0
11,frog_aal_arch_external.xml,-10.0,0.139765,0.691134,0.84123,0.18,-10.0,-10.0,1,/camera/image_noisy,-10.0
12,frog_aal_arch_external.xml,-10.0,0.139765,0.691134,0.84123,0.18,"0,1",7053.725098,1,/camera/image_noisy,1.0
13,frog_aal_arch_external.xml,-10.0,0.135113,0.694992,0.812242,0.18,"0,2",6994.450195,1,/camera/image_noisy,2.0
14,frog_aal_arch_external.xml,-10.0,0.135113,0.694992,0.812242,0.26,"0,2",6994.450195,1,/camera/image_noisy,2.0
15,frog_aal_arch_external.xml,-10.0,0.082776,0.684787,0.78328,0.26,"0,2",6994.450195,1,/camera/image_noisy,2.0
16,frog_aal_arch_external.xml,-10.0,0.082776,0.684787,0.78328,0.26,"0,3",6460.975098,3,/camera/image_noisy,3.0
17,frog_aal_arch_external.xml,25.207039,0.082776,0.684787,0.750502,0.18,"0,3",6460.975098,3,/camera/image_noisy,3.0
18,frog_aal_arch_external.xml,25.207039,0.082776,0.684787,0.750502,0.18,"0,3",6460.975098,3,/camera/image_noisy,3.0
19,frog_aal_arch_external.xml,25.207039,0.082776,0.684787,0.71824,0.18,"0,4",5927.5,3,/camera/image_noisy,4.0
20,frog_aal_arch_external.xml,25.207039,0.082776,0.684787,0.71824,0.18,"0,4",5927.5,3,/camera/image_noisy,4.0
21,frog_aal_arch_external.xml,25.207039,0.082776,0.684787,0.683064,0.18,"0,4",5927.5,3,/camera/image_noisy,4.0
22,frog_aal_arch_external.xml,25.207039,0.082776,0.684787,0.683064,0.18,"0,4",5927.5,3,/camera/image_noisy,4.0
23,frog_aal_arch_external.xml,25.207039,0.078193,0.684787,0.648102,0.26,"0,5",5394.024902,3,/camera/image_noisy,5.0
24,frog_aal_arch_external.xml,25.207039,0.078193,0.684787,0.648102,0.26,"0,6",5334.75,1,/camera/image_noisy,6.0
