time,move_pow_metric,safety_metric,movement_efficiency,current_lighting,max_speed,obj_det_eff,obj_power,pic_rate,curr_cam_topic,pics_taken
1,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
2,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
3,-10.0,-10.0,-10.0,0.939766,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
4,-10.0,-10.0,-10.0,0.939766,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
5,-10.0,-10.0,-10.0,0.920614,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
6,-10.0,-10.0,-10.0,0.920614,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
7,-10.0,-10.0,-10.0,0.898066,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
8,-10.0,0.125459,-10.0,0.898066,0.26,-10.0,-10.0,1,/camera/image_noisy,-10.0
9,-10.0,0.147113,0.901905,0.871924,0.26,-10.0,-10.0,1,/camera/image_noisy,-10.0
10,-10.0,0.147113,0.901905,0.871924,0.26,"0,1",7053.725098,1,/camera/image_noisy,1.0
11,-10.0,0.168854,0.995536,0.841096,0.26,"0,2",6994.450195,1,/camera/image_noisy,2.0
12,-10.0,0.168854,0.995536,0.841096,0.26,"0,2",6994.450195,1,/camera/image_noisy,2.0
13,-10.0,0.143844,1.0,0.812533,0.26,"0,2",6994.450195,1,/camera/image_noisy,2.0
14,-10.0,0.143844,1.0,0.812533,0.26,"0,2",6994.450195,1,/camera/image_noisy,2.0
15,-10.0,0.074013,0.631198,0.789519,0.26,"0,3",6460.975098,3,/camera/image_noisy,3.0
16,-10.0,0.074013,0.631198,0.789519,0.26,"0,3",6460.975098,3,/camera/image_noisy,3.0
17,32.300869,0.062421,0.631198,0.75039,0.18,"0,3",6460.975098,3,/camera/image_noisy,3.0
18,32.300869,0.062421,0.631198,0.75039,0.18,"0,4",5927.5,3,/camera/image_noisy,4.0
19,32.300869,0.062421,0.631198,0.725812,0.18,"0,4",5927.5,3,/camera/image_noisy,4.0
20,32.300869,0.062421,0.631198,0.725812,0.18,"0,4",5927.5,3,/camera/image_noisy,4.0
21,32.300869,0.062421,0.631198,0.689012,0.18,"0,4",5927.5,3,/camera/image_noisy,4.0
22,32.300869,0.067844,0.631198,0.689012,0.1,"0,5",5394.024902,3,/camera/image_noisy,5.0
23,32.300869,0.073921,0.631198,0.653009,0.1,"0,6",5334.75,1,/camera/image_noisy,6.0
24,32.300869,0.073921,0.631198,0.653009,0.1,"0,7",5275.475098,1,/camera/image_noisy,7.0
25,32.300869,0.065441,0.38568,0.610154,0.1,"0,8",5216.200195,1,/camera/image_noisy,8.0
26,32.300869,0.065441,0.38568,0.610154,0.1,"0,9",5156.924805,1,/camera/image_noisy,9.0
27,32.300869,0.037061,0.384648,0.573918,0.1,"0,9",5156.924805,1,/camera/image_noisy,9.0
28,32.300869,0.037061,0.384648,0.573918,0.1,"0,9",5156.924805,1,/camera/image_noisy,10.0
29,32.300869,0.031556,0.384844,0.540615,0.1,"0,9",5156.924805,1,/camera/image_noisy,10.0
30,32.300869,0.031556,0.384844,0.540615,0.1,"0,9",5156.924805,1,/camera/image_noisy,10.0
31,32.300869,0.047408,0.379346,0.500935,0.1,"0,9",5156.924805,1,/camera/image_noisy,10.0
32,32.300869,0.047408,0.379346,0.500935,0.1,"0,9",5156.924805,1,/camera/image_noisy,10.0
33,32.300869,0.055708,0.385084,0.471366,0.1,"0,9",5156.924805,1,/camera/image_noisy,10.0
34,32.300869,0.055708,0.385084,0.471366,0.1,"0,9",5156.924805,1,/camera/image_noisy,10.0
35,32.300869,0.064583,0.385084,0.422594,0.1,"0,9",5156.924805,1,/camera/image_noisy,10.0
36,34.498508,0.064583,0.385084,0.422594,0.1,"0,10",5097.649902,1,/camera/image_noisy,10.0
37,34.498508,0.068206,0.385084,0.398747,0.1,"0,11",5038.375,1,/camera/image_noisy,11.0
38,34.498508,0.068206,0.385084,0.398747,0.1,"0,12",4979.100098,1,/camera/image_noisy,12.0
39,34.498508,0.077254,0.381783,0.3497,0.1,"0,13",4919.825195,1,/camera/image_noisy,13.0
40,34.498508,0.077254,0.381783,0.3497,0.1,"0,13",4919.825195,1,/camera/image_noisy,13.0
41,34.498508,0.093907,0.387866,0.315204,0.1,"1,14",4860.549805,1,/camera/image_noisy,14.0
42,34.498508,0.093907,0.387866,0.315204,0.1,"1,14",4860.549805,1,/camera/image_noisy,15.0
43,34.498508,0.124073,0.386975,0.279975,0.1,"1,14",4860.549805,1,/camera/image_noisy,15.0
44,34.498508,0.124073,0.386975,0.279975,0.1,"1,14",4860.549805,1,/camera/image_noisy,15.0
45,34.498508,0.161081,0.383128,0.24727,0.1,"1,14",4860.549805,1,/camera/image_noisy,15.0
46,34.498508,0.161081,0.383128,0.24727,0.18,"1,14",4860.549805,1,/camera/image_noisy,15.0
47,34.498508,0.198642,0.691206,0.216877,0.18,"1,14",4860.549805,1,/camera/image_noisy,15.0
48,34.498508,0.198642,0.691206,0.216877,0.18,"1,14",4860.549805,1,/camera/image_noisy,15.0
49,34.498508,0.201735,0.93754,0.18712,0.26,"1,14",4860.549805,1,/camera/image_noisy,15.0
50,34.498508,0.201735,0.93754,0.18712,0.26,"1,14",4860.549805,1,/camera/image_noisy,15.0
51,34.498508,0.159846,0.944966,0.159504,0.26,"1,14",4860.549805,1,/camera/image_noisy,15.0
52,34.498508,0.159846,0.944966,0.159504,0.26,"1,14",4860.549805,1,/camera/image_noisy,15.0
53,34.498508,0.143922,0.948485,0.131637,0.26,"1,14",4860.549805,1,/camera/image_noisy,15.0
54,34.498508,0.143922,0.948485,0.131637,0.26,"1,14",4860.549805,1,/camera/image_noisy,15.0
55,34.498508,0.155631,0.999085,0.10636,0.26,"1,14",4860.549805,1,/camera/image_noisy,15.0
56,34.498508,0.155631,0.999085,0.10636,0.26,"1,14",4860.549805,1,/camera/image_noisy,15.0
57,34.498508,0.139945,0.944744,0.084089,0.26,"1,14",4860.549805,1,/camera/image_noisy,15.0
58,34.498508,0.139945,0.944744,0.084089,0.26,"1,14",4860.549805,1,/camera/image_noisy,15.0
59,34.498508,0.1206,0.841817,0.066553,0.26,"1,14",4860.549805,1,/camera/image_noisy,15.0
60,34.498508,0.1206,0.841817,0.066553,0.26,"1,14",4860.549805,1,/camera/image_noisy,15.0
61,34.498508,0.103511,0.841817,0.04739,0.26,"1,14",4860.549805,1,/camera/image_noisy,15.0
62,34.498508,0.103511,0.841817,0.04739,0.26,"1,14",4860.549805,1,/camera/image_noisy,15.0
63,34.498508,0.090333,0.841817,0.032138,0.26,"1,14",4860.549805,1,/camera/image_noisy,15.0
64,34.498508,0.090333,0.841817,0.032138,0.18,"1,14",4860.549805,1,/camera/image_noisy,15.0
65,77.852844,0.08966,0.841817,0.020256,0.18,"1,15",4801.274902,1,/camera/image_noisy,15.0
66,77.852844,0.08966,0.841817,0.020256,0.18,"1,16",4742.0,1,/camera/image_noisy,16.0
67,77.852844,0.100847,0.841817,0.012359,0.1,"1,17",4682.725098,1,/camera/image_noisy,17.0
68,77.852844,0.100847,0.841817,0.012359,0.1,"1,18",4623.450195,1,/camera/image_noisy,18.0
69,77.852844,0.11305,0.13296,0.004796,0.1,"1,19",4564.174805,1,/camera/image_noisy,19.0
70,77.852844,0.11305,0.13296,0.004796,0.1,"1,19",4564.174805,1,/camera/image_noisy,20.0
71,77.852844,0.068031,0.386892,0.000872,0.1,"1,19",4564.174805,1,/camera/image_noisy,20.0
72,77.852844,0.068031,0.386892,0.000872,0.1,"1,19",4564.174805,1,/camera/image_noisy,20.0
73,77.852844,0.057486,0.382493,4.4e-05,0.1,"1,19",4564.174805,1,/camera/image_noisy,20.0
74,77.852844,0.057486,0.382493,4.4e-05,0.1,"1,19",4564.174805,1,/camera/image_noisy,20.0
75,77.852844,0.071793,0.381889,0.001597,0.1,"1,19",4564.174805,1,/camera/image_noisy,20.0
76,77.852844,0.071793,0.381889,0.001597,0.1,"1,19",4564.174805,1,/camera/image_noisy,20.0
77,77.852844,0.090824,0.381756,0.00651,0.1,"1,19",4564.174805,1,/camera/image_noisy,20.0
78,77.852844,0.090824,0.381756,0.00651,0.1,"1,19",4564.174805,1,/camera/image_noisy,20.0
79,77.852844,0.117442,0.38188,0.014662,0.1,"1,19",4564.174805,1,/camera/image_noisy,20.0
80,77.852844,0.117442,0.38188,0.014662,0.1,"1,19",4564.174805,1,/camera/image_noisy,20.0
81,77.852844,0.138318,0.382844,0.022893,0.1,"1,19",4564.174805,1,/camera/image_noisy,20.0
82,77.852844,0.138318,0.382844,0.022893,0.1,"1,19",4564.174805,1,/camera/image_noisy,20.0
83,77.852844,0.1693,0.384609,0.038344,0.1,"1,19",4564.174805,1,/camera/image_noisy,20.0
84,77.852844,0.1693,0.384609,0.038344,0.1,"1,19",4564.174805,1,/camera/image_noisy,20.0
85,77.852844,0.198756,0.383277,0.052212,0.1,"1,19",4564.174805,1,/camera/image_noisy,20.0
86,77.852844,0.198756,0.383277,0.052212,0.1,"1,19",4564.174805,1,/camera/image_noisy,20.0
87,77.852844,0.153915,0.382719,0.068871,0.1,"1,19",4564.174805,1,/camera/image_noisy,20.0
88,77.852844,0.153915,0.382719,0.068871,0.1,"1,19",4564.174805,1,/camera/image_noisy,20.0
89,77.852844,0.112397,0.382719,0.083064,0.1,"1,19",4564.174805,1,/camera/image_noisy,20.0
90,77.852844,0.112397,0.382719,0.083064,0.1,"1,19",4564.174805,1,/camera/image_noisy,20.0
91,57.304211,0.114231,0.382719,0.1155,0.1,"1,20",4504.899902,1,/camera/image_noisy,20.0
92,57.304211,0.114231,0.382719,0.1155,0.1,"2,21",4445.625,1,/camera/image_noisy,21.0
93,57.304211,0.115056,0.382719,0.140466,0.1,"3,22",4386.350098,1,/camera/image_noisy,22.0
94,57.304211,0.115056,0.382719,0.140466,0.1,"4,23",4327.075195,1,/camera/image_noisy,23.0
95,57.304211,0.080077,0.378968,0.168678,0.1,"4,23",4327.075195,1,/camera/image_noisy,23.0
96,57.304211,0.080077,0.378968,0.168678,0.1,"4,24",4267.799805,1,/camera/image_noisy,24.0
97,57.304211,0.096547,0.386684,0.197491,0.1,"4,24",4267.799805,1,/camera/image_noisy,25.0
