time,bt_name,move_pow_metric,safety_metric,movement_efficiency,current_lighting,max_speed,obj_det_eff,obj_power,pic_rate,curr_cam_topic,pics_taken
1,frog_aal_arch_internal.xml,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
2,frog_aal_arch_internal.xml,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
3,frog_aal_arch_internal.xml,-10.0,-10.0,-10.0,0.934473,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
4,frog_aal_arch_internal.xml,-10.0,-10.0,-10.0,0.934473,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
5,frog_aal_arch_internal.xml,-10.0,-10.0,-10.0,0.915869,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
6,frog_aal_arch_internal.xml,-10.0,-10.0,-10.0,0.915869,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
7,frog_aal_arch_internal.xml,-10.0,-10.0,-10.0,0.893807,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
8,frog_aal_arch_internal.xml,-10.0,0.127178,-10.0,0.893807,0.26,-10.0,-10.0,1,/camera/image_noisy,-10.0
9,frog_aal_arch_internal.xml,-10.0,0.149338,0.992957,0.869326,0.26,-10.0,-10.0,1,/camera/image_noisy,-10.0
10,frog_aal_arch_internal.xml,-10.0,0.149338,0.992957,0.869326,0.26,-10.0,-10.0,1,/camera/image_noisy,-10.0
11,frog_aal_arch_internal.xml,-10.0,0.164055,0.995588,0.843066,0.26,"0,1",7053.725098,1,/camera/image_noisy,1.0
12,frog_aal_arch_internal.xml,-10.0,0.164055,0.995588,0.843066,0.26,"0,1",7053.725098,1,/camera/image_noisy,1.0
13,frog_aal_arch_internal.xml,-10.0,0.089232,0.790038,0.813801,0.26,"0,2",6994.450195,1,/camera/image_noisy,2.0
14,frog_aal_arch_internal.xml,-10.0,0.089232,0.790038,0.813801,0.18,"0,2",6994.450195,1,/camera/image_noisy,2.0
15,frog_aal_arch_internal.xml,26.477255,0.06941,0.790038,0.784135,0.18,"0,2",6994.450195,1,/camera/image_noisy,2.0
16,frog_aal_arch_internal.xml,26.477255,0.06941,0.790038,0.784135,0.18,"0,3",6460.975098,3,/camera/image_noisy,3.0
17,frog_aal_arch_internal.xml,26.477255,0.06941,0.790038,0.751931,0.18,"0,3",6460.975098,3,/camera/image_noisy,3.0
18,frog_aal_arch_internal.xml,26.477255,0.06941,0.790038,0.751931,0.18,"0,3",6460.975098,3,/camera/image_noisy,3.0
19,frog_aal_arch_internal.xml,26.477255,0.06941,0.790038,0.719372,0.18,"0,4",5927.5,3,/camera/image_noisy,4.0
20,frog_aal_arch_internal.xml,26.477255,0.06941,0.790038,0.719372,0.18,"0,4",5927.5,3,/camera/image_noisy,4.0
21,frog_aal_arch_internal.xml,26.477255,0.06941,0.790038,0.685343,0.18,"0,4",5927.5,3,/camera/image_noisy,4.0
22,frog_aal_arch_internal.xml,26.477255,0.06941,0.790038,0.685343,0.18,"0,4",5927.5,3,/camera/image_noisy,4.0
23,frog_aal_arch_internal.xml,26.477255,0.075988,0.790038,0.649804,0.1,"0,5",5394.024902,3,/camera/image_noisy,5.0
